City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,keflavik,64.0049,-22.5624,286.1,94,75,4.12,IS,1722886694
119,yakeshi,49.2833,120.7333,287.77,81,0,1.99,CN,1722886695
120,bikenibeu village,1.3673,173.1241,302.11,62,98,5.47,KI,1722886697
121,tsiombe,-25.3,45.4833,291.41,91,5,0.9,MG,1722886118
122,kirkwood,38.5834,-90.4068,309.0,49,20,2.57,US,1722886699
123,yucheng,34.9289,116.4653,298.18,97,100,3.13,CN,1722886700
124,mo i rana,66.3128,14.1428,291.11,81,0,0.0,NO,1722886541
125,aasiaat,68.7098,-52.8699,276.78,87,63,2.04,GL,1722886702
126,porto velho,-8.7619,-63.9039,308.18,29,4,4.63,BR,1722886557
127,thompson,55.7435,-97.8558,295.24,35,20,3.09,CA,1722886704
128,margaret river,-33.95,115.0667,289.41,85,100,7.58,AU,1722886705
129,pangani,-5.4333,38.9667,295.53,81,0,2.42,TZ,1722886707
130,fortuna,40.5982,-124.1573,288.7,95,100,2.57,US,1722886708
131,bodo,67.28,14.405,293.17,66,0,2.57,NO,1722886438
132,bowling green,36.9903,-86.4436,306.29,57,75,4.12,US,1722886564
133,el nido,11.1858,119.3956,298.23,92,99,4.14,PH,1722886711
134,laguna,38.421,-121.4238,309.27,36,0,3.09,US,1722886712
135,tampakan,6.4442,124.9264,296.15,97,100,0.14,PH,1722886713
136,utrik,11.2278,169.8474,301.25,81,95,6.83,MH,1722886714
137,iqaluit,63.7506,-68.5145,281.0,81,100,3.6,CA,1722886715
138,lazaro cardenas,17.9583,-102.2,302.98,66,100,3.38,MX,1722886224
139,aioun,16.6614,-9.6149,304.12,56,50,4.88,MR,1722886718
140,kalabo,-14.97,22.6814,293.08,15,0,1.48,ZM,1722886719
141,pimentel,-6.8367,-79.9342,295.31,64,0,8.75,PE,1722886167
142,peitz,51.8584,14.4114,290.77,81,41,1.41,DE,1722886721
143,bubaque,11.2833,-15.8333,299.59,84,100,5.8,GW,1722886722
144,balykshi,47.0667,51.8667,297.15,60,0,2.0,KZ,1722886723
145,djebeniana,35.035,10.9081,302.04,68,0,3.23,TN,1722886724
146,petropavlovsk-kamchatsky,53.0452,158.6483,284.48,100,100,1.0,RU,1722886726
147,armenia,40.0,45.0,289.5,73,6,6.27,AM,1722886728
148,jamestown,42.097,-79.2353,301.92,66,100,4.63,US,1722886548
149,polyarnyy,69.1989,33.4478,283.07,77,3,1.83,RU,1722886730
150,alapa,8.6167,4.3833,297.83,75,100,3.98,NG,1722886731
151,sandikli,38.4647,30.2695,294.54,53,8,2.15,TR,1722886732
152,dali,25.7,100.1833,290.54,94,100,1.46,CN,1722886733
153,pirallahi,40.4723,50.333,300.23,75,0,4.66,AZ,1722886734
154,kabansk,52.0486,106.6528,286.59,78,1,2.02,RU,1722886735
155,nemuro,43.3236,145.575,289.91,100,95,2.12,JP,1722886736
156,kourou,5.1552,-52.6478,305.18,70,4,4.25,GF,1722886738
157,udachny,66.4167,112.4,283.37,87,100,7.76,RU,1722886739
158,simanggang,1.2472,111.4528,298.14,100,41,0.0,MY,1722886740
159,recani,31.2846,-4.2688,311.16,7,61,3.9,MA,1722886741
160,regina,50.4501,-104.6178,295.14,53,75,5.66,CA,1722886742
161,nantucket,41.2835,-70.0995,302.18,75,0,5.14,US,1722886576
162,enewetak,11.3474,162.3373,301.52,74,76,1.99,MH,1722886744
163,flin flon,54.7682,-101.865,295.06,40,75,2.57,CA,1722886745
164,cambria,35.5641,-121.0808,309.13,62,37,4.49,US,1722886746
165,cabo san lucas,22.8909,-109.9124,307.76,38,20,5.14,MX,1722886238
166,banda aceh,5.5577,95.3222,300.04,79,98,5.19,ID,1722886749
167,garissa,-0.4536,39.6401,297.35,57,44,9.36,KE,1722886750
168,huarmey,-10.0681,-78.1522,293.43,71,0,6.11,PE,1722886751
169,aginskoye,51.1,114.53,290.21,61,87,1.87,RU,1722886752
170,queenstown,-31.8976,26.8753,282.14,25,0,2.73,ZA,1722885956
171,port douglas,-16.4833,145.4667,292.73,81,6,1.91,AU,1722886754
172,neiafu,-18.65,-173.9833,292.53,94,20,0.0,TO,1722886755
173,howard springs,-12.497,131.047,296.1,88,8,2.16,AU,1722886757
174,ouadda,8.0777,22.4007,293.82,93,56,1.73,CF,1722886758
175,guanica,17.9716,-66.908,306.76,69,0,8.16,PR,1722886759
176,wotho,10.1657,166.0102,300.73,80,94,6.02,MH,1722886760
177,alice springs,-23.7,133.8833,276.9,93,0,1.03,AU,1722886625
178,tamanrasset,22.785,5.5228,307.1,17,40,6.17,DZ,1722886762
179,bati,11.1833,40.0167,293.74,75,100,1.59,ET,1722886763
180,makar'yev,57.8797,43.8069,288.03,95,24,1.57,RU,1722886764
181,timaru,-44.4,171.25,276.22,71,6,2.45,NZ,1722886766
182,colonia,50.9333,6.95,296.51,74,0,2.06,DE,1722886767
183,arraial do cabo,-22.9661,-42.0278,300.13,69,0,8.75,BR,1722886768
184,muang phonsavan,19.45,103.2167,291.46,100,100,0.9,LA,1722886769
185,sinop,41.7711,34.8709,290.41,96,54,0.86,TR,1722886770
186,codrington,-38.2667,141.9667,279.14,96,100,5.43,AU,1722886771
187,tual,-5.6667,132.75,298.42,85,89,9.38,ID,1722886772
188,kloulklubed,7.0419,134.2556,301.88,73,100,4.53,PW,1722886773
189,pyhajarvi,67.0701,27.2176,286.74,62,36,1.75,FI,1722886774
190,aral,40.5156,81.2636,301.78,32,100,3.54,CN,1722886775
191,constantia,44.1833,28.65,295.53,61,69,5.46,RO,1722886777
192,dudinka,69.4058,86.1778,280.85,68,22,8.52,RU,1722886778
193,verdal,63.7933,11.4817,296.17,69,70,2.83,NO,1722886779
194,luderitz,-26.6481,15.1594,286.2,67,0,6.93,NA,1722886780
195,gaalkacyo,6.7697,47.4308,298.05,64,59,10.62,SO,1722886781
196,edinburgh of the seven seas,-37.0676,-12.3116,286.82,92,93,10.73,SH,1722886782
197,cole harbour,44.6724,-63.4751,296.86,73,55,5.66,CA,1722886783
198,las choapas,17.9333,-94.0833,303.14,73,76,3.05,MX,1722886785
199,sao jose da coroa grande,-8.8978,-35.1478,297.66,74,16,5.01,BR,1722886787
200,castillos,-34.1667,-53.8333,287.17,92,100,4.77,UY,1722886789
201,atherton,53.5237,-2.4935,294.96,80,100,2.24,GB,1722886790
202,stanley,54.868,-1.6985,294.16,81,75,3.09,GB,1722886791
203,praia da vitoria,38.7333,-27.0667,301.29,69,20,2.25,PT,1722886793
204,micheweni,-4.9667,39.8333,296.78,76,1,5.42,TZ,1722886794
205,new norfolk,-42.7826,147.0587,284.22,84,100,2.23,AU,1722886795
206,amahai,-3.3333,128.9167,297.96,89,100,2.31,ID,1722886796
207,cannonvale,-20.2833,148.7,290.81,90,100,3.58,AU,1722886797
208,old harbour bay,17.9092,-77.0972,307.59,58,32,5.44,JM,1722886798
209,eyl,7.9803,49.8164,298.08,80,97,11.23,SO,1722886799
210,nguigmi,14.2495,13.1092,300.13,67,100,1.32,NE,1722886800
211,labytnangi,66.6572,66.4183,279.95,65,18,5.08,RU,1722886802
212,cidreira,-30.1811,-50.2056,289.5,97,85,3.8,BR,1722886803
213,aykhal,66.0,111.5,281.91,85,82,6.55,RU,1722886804
214,mata-utu,-13.2816,-176.1745,299.62,74,7,3.81,WF,1722886806
215,maridi,4.9158,29.4742,292.8,96,100,1.49,SS,1722886807
216,beau vallon,-20.4189,57.6953,292.16,88,20,1.54,MU,1722886808
217,aldan,58.6031,125.3894,283.66,99,100,2.01,RU,1722886809
218,la passe,45.5549,-0.8967,299.28,83,0,4.37,FR,1722886811
219,handan,36.6006,114.4678,299.21,89,0,1.19,CN,1722886812
220,hamilton,39.1834,-84.5333,307.64,52,0,2.57,US,1722886813
221,bidar,17.9,77.55,296.31,87,100,4.6,IN,1722886814
222,tura,25.5198,90.2201,297.49,99,100,2.38,IN,1722886815
223,rikaze,29.25,88.8833,284.64,78,100,3.08,CN,1722886817
224,santo antonio do ica,-3.1022,-67.9397,302.45,66,100,1.25,BR,1722886819
225,west island,-12.1568,96.8225,299.14,73,20,4.12,CC,1722886820
226,minas de marcona,-15.2119,-75.1103,288.23,62,0,7.63,PE,1722886821
227,khandyga,62.6667,135.6,285.68,95,100,2.46,RU,1722886822
228,cromer,52.9312,1.2989,296.56,68,100,5.36,GB,1722886823
229,jackson,42.4165,-122.8345,306.52,35,0,3.13,US,1722886773
230,benxi,41.2886,123.765,296.33,97,55,1.23,CN,1722886825
231,baiyin,36.5583,104.2081,296.84,57,98,1.46,CN,1722886826
232,east london,-33.0153,27.9116,287.69,53,0,2.75,ZA,1722886827
233,necochea,-38.5473,-58.7368,287.14,62,100,4.69,AR,1722886543
234,el granada,37.5027,-122.4694,297.86,74,75,6.69,US,1722886830
235,rasht,37.2808,49.5832,299.05,94,0,0.0,IR,1722886831
236,prince rupert,54.3161,-130.3201,290.2,87,0,2.57,CA,1722886832
237,uturoa,-16.7333,-151.4333,298.95,74,91,5.31,PF,1722886833
238,hualien city,23.9769,121.6044,299.44,96,100,2.59,TW,1722886834
239,amos,48.5669,-78.1162,290.76,47,98,2.86,CA,1722886836
240,xapuri,-10.6517,-68.5044,304.7,45,100,3.39,BR,1722886837
241,celestun,20.8667,-90.4,303.26,68,62,4.42,MX,1722886839
242,cedeira,43.6797,-8.0209,294.29,40,4,2.93,ES,1722886840
243,igarka,67.4667,86.5833,280.53,76,99,4.96,RU,1722886841
244,remire-montjoly,4.9167,-52.2667,305.17,66,0,6.17,GF,1722886842
245,quang ngai,15.1167,108.8,297.02,91,100,1.88,VN,1722886843
246,kalmunai,7.4167,81.8167,300.97,79,98,2.7,LK,1722886844
247,zambezi,-13.5432,23.1047,290.63,16,0,1.65,ZM,1722886845
248,rosa zarate,0.3333,-79.4667,304.14,55,63,1.99,EC,1722886846
249,touros,-5.1989,-35.4608,298.33,74,55,7.18,BR,1722886556
250,vernon,50.2581,-119.2691,306.09,30,0,1.03,CA,1722886848
251,aykol,38.1751,77.2132,299.66,48,99,5.54,CN,1722886850
252,challapata,-18.9,-66.7667,285.17,23,0,3.09,BO,1722886851
253,langarud,37.197,50.1535,299.18,82,2,0.54,IR,1722886852
254,gombong,-7.6072,109.5142,294.57,89,76,1.3,ID,1722886853
255,hasaki,35.7333,140.8333,298.37,90,2,3.28,JP,1722886854
256,kiama,-34.6833,150.8667,285.93,81,33,0.45,AU,1722886855
257,afaahiti,-17.75,-149.2833,299.08,76,79,5.94,PF,1722886856
258,irymple,-34.25,142.1667,277.71,89,3,1.75,AU,1722886857
259,mana,5.6592,-53.7767,301.92,73,9,5.9,GF,1722886859
260,isabel segunda,18.1491,-65.4427,305.14,79,1,8.32,PR,1722886860
261,san antonio de pale,-1.4014,5.6325,295.23,76,100,4.25,GQ,1722886861
262,puerto armuelles,8.2833,-82.8667,303.14,78,100,1.34,PA,1722886862
263,kuala belait,4.5833,114.1833,299.24,92,70,2.63,BN,1722886863
264,nishinoomote,30.7333,131.0,301.34,78,31,2.86,JP,1722886864
265,safford,32.834,-109.7076,311.34,23,1,0.45,US,1722886865
266,mananjary,-21.2167,48.3333,292.63,93,41,3.13,MG,1722886866
267,cockburn town,21.4612,-71.1419,301.63,82,5,8.07,TC,1722886736
268,narragansett,41.4501,-71.4495,305.19,59,0,4.12,US,1722886869
